@relation 'keeldataset-weka.filters.supervised.attribute.AddClassification-classification-Wweka.classifiers.trees.J48 -C 0.25 -M 2'

@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size {n,b}
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}
@attribute verdict {p,e}
@attribute classification {p,e}

@data
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,p
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p,p
x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e,e
x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e,e
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e,e
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e,e
x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e,e
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,e
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e,e
x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e,e
s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e,e
x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e,e
x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p,p
x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p,p
f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e,e
x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,p
b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,e
f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e,e
x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e,e
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e,e
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e,e
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e,e
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e,e
x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e,e
x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,p
b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,e
f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p,p
x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p,p
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e,e
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,e
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e,e
f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e,e
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,e
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p,p
f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e,e
x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,e
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e,e
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p,p
s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,e
b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,e
x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,e
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p,p
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e,e
x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,e
f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e,e
f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e,e
f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e,e
