RefId,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
11,14-12-2009,ADESA,2005,4,GMC,1500 SIERRA PICKUP 2,SLE,REG CAB 4.3L,SILVER,Auto,1,Alloy,80080,AMERICAN,LARGE TRUCK,GM,5243,6627,8848,10458,5712,7552,9494,11663,NO,GREEN,5546,33619,FL,5500,0,1373
12,14-12-2009,ADESA,2001,8,FORD,F150 PICKUP 2WD V6,XL,REG CAB 4.2L XL,WHITE,Manual,1,Alloy,75419,AMERICAN,LARGE TRUCK,FORD,3168,4320,5826,6762,2871,3822,5734,6559,NO,GREEN,5546,33619,FL,5300,0,869
13,14-12-2009,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,RED,Auto,1,Alloy,79315,AMERICAN,VAN,CHRYSLER,4225,5380,7910,10108,4807,6077,8523,10124,NO,GREEN,19638,33619,FL,5400,0,1623
14,14-12-2009,ADESA,2005,4,NISSAN,ALTIMA,BAS,4D SEDAN,WHITE,Auto,2,Covers,71254,TOP LINE ASIAN,MEDIUM,OTHER,5684,6921,8976,10789,5976,7190,9374,10780,NO,GREEN,19638,33619,FL,7800,0,686
15,14-12-2009,ADESA,2006,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L,GOLD,Auto,1,Alloy,74722,AMERICAN,VAN,CHRYSLER,6999,9730,10743,14066,7952,9910,12131,13836,NO,GREEN,19638,33619,FL,6900,0,1623
16,14-12-2009,ADESA,2003,6,CHEVROLET,CAVALIER 4C,BAS,2D COUPE,WHITE,Manual,2,Covers,72132,AMERICAN,COMPACT,GM,2228,3217,5256,7589,2128,2690,4855,5506,NO,GREEN,5546,33619,FL,3300,0,1455
17,14-12-2009,ADESA,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,WHITE,Auto,1,Alloy,80736,AMERICAN,MEDIUM SUV,GM,6742,7951,11068,12885,7670,9159,12596,15041,NO,GREEN,19638,33619,FL,6800,0,1243
18,14-12-2009,ADESA,2003,6,SATURN,VUE 2WD 4C,BAS,4D CUV 2.2L,RED,Auto,2,Covers,75156,AMERICAN,MEDIUM SUV,GM,2756,3475,5835,6925,3513,4572,7195,9364,NO,GREEN,5546,33619,FL,4900,0,1923
19,14-12-2009,ADESA,2005,4,CHEVROLET,IMPALA,BAS,4D SEDAN,GREY,Auto,2,Covers,65925,AMERICAN,LARGE,GM,3983,5244,7316,9194,4107,5191,7638,8800,NO,GREEN,19638,33619,FL,5700,0,1703
20,14-12-2009,ADESA,2004,5,GMC,ENVOY XL 2WD 6C,SLE,4D UTILITY 4.2L SLE,BLACK,Auto,1,Alloy,84498,AMERICAN,MEDIUM SUV,GM,7347,8845,11092,13052,7436,8766,11367,12609,NO,GREEN,19638,33619,FL,7100,0,1243
21,14-12-2009,ADESA,2002,7,CHRYSLER,VOYAGER FWD V6,BAS,MINIVAN 3.3L,BLUE,Auto,2,Covers,54586,AMERICAN,VAN,CHRYSLER,2139,3106,5072,6424,3307,4388,6228,7413,NO,GREEN,19638,33619,FL,4800,0,1551
22,14-12-2009,ADESA,2002,7,CHEVROLET,MONTE CARLO,SS,2D COUPE SS,WHITE,Auto,1,Alloy,66536,AMERICAN,LARGE,GM,3522,4791,7689,10460,4403,5629,7512,8975,NO,GREEN,5546,33619,FL,5800,0,2003
23,21-12-2009,ADESA,2004,5,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,SILVER,Auto,2,Covers,98130,AMERICAN,VAN,GM,2290,3818,5646,7427,2446,3542,5999,8687,NO,GREEN,5546,33619,FL,4100,0,5613
24,21-12-2009,ADESA,2006,3,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,Auto,2,Covers,59789,AMERICAN,MEDIUM,GM,5693,6842,9586,11299,6062,7214,9721,11606,NO,GREEN,5546,33619,FL,7700,0,671
25,21-12-2009,ADESA,2007,2,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,Auto,2,Covers,65663,AMERICAN,MEDIUM,GM,5830,6923,9644,10838,7038,7945,11189,11803,NO,GREEN,5546,33619,FL,7000,0,728
26,21-12-2009,ADESA,2004,5,MERCURY,SABLE,LS,4D SEDAN LS PREMIUM,WHITE,Auto,1,Alloy,52106,AMERICAN,MEDIUM,FORD,2619,3561,6502,7274,3160,4376,6600,8074,NO,GREEN,5546,33619,FL,4500,0,754
27,21-12-2009,ADESA,2002,7,GMC,ENVOY XL 4WD 6C,SLE,4D UTILITY 4.2L SLE,GOLD,Auto,1,Alloy,88958,AMERICAN,MEDIUM SUV,GM,5367,6517,9005,10050,5510,6838,8522,10252,NO,GREEN,5546,33619,FL,8000,0,2452
28,21-12-2009,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,Auto,1,Alloy,76173,AMERICAN,LARGE TRUCK,CHRYSLER,6407,8051,10378,12443,7159,8934,11135,12560,NO,GREEN,19638,33619,FL,8800,0,920
29,28-12-2009,ADESA,2004,5,DODGE,DURANGO 4WD V8,SLT,4D SUV 5.7L SLT,RED,Auto,1,Alloy,65393,AMERICAN,MEDIUM SUV,CHRYSLER,7243,8582,11805,13250,7863,10109,12295,15807,NO,GREEN,19638,33619,FL,8400,0,1411
30,28-12-2009,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,GREY,Auto,1,Alloy,80064,AMERICAN,VAN,CHRYSLER,5439,7255,9587,11288,6175,7792,9768,11489,NO,GREEN,19638,33619,FL,5600,0,1763
31,28-12-2009,ADESA,2003,6,CHEVROLET,SUBURBAN 1500 2WD,150,4D UTILITY 5.3L FFV LS,GOLD,Auto,1,Alloy,77694,AMERICAN,LARGE SUV,GM,7220,8598,11181,12310,6910,8441,10739,12152,NO,GREEN,19638,33619,FL,8300,0,1923
32,28-12-2009,ADESA,2002,7,FORD,EXPLORER 2WD V6,SPO,2D SUV 4.0L SPORT,BLUE,Auto,1,Alloy,56300,AMERICAN,MEDIUM SUV,FORD,2989,3939,5731,6751,3062,4156,5622,6773,NO,GREEN,19638,33619,FL,4900,0,1220
33,28-12-2009,ADESA,2006,3,CHRYSLER,300,BAS,4D SEDAN,BLACK,Auto,2,Covers,78241,AMERICAN,SPECIALTY,CHRYSLER,8864,10403,13575,14872,8817,10367,12726,14374,NO,GREEN,19638,33619,FL,9500,0,1389
34,28-12-2009,ADESA,2004,5,FORD,MUSTANG V6,BAS,2D COUPE,BLACK,Manual,1,Alloy,57723,AMERICAN,SPORTS,FORD,4335,5331,8448,10389,5960,7040,8576,9924,NO,GREEN,19638,33619,FL,7000,0,671
35,28-12-2009,ADESA,2005,4,CHEVROLET,AVALANCHE 1500 2WD V,150,4D SUV-PICKUP 5.3L,BLACK,Auto,1,Alloy,78434,AMERICAN,LARGE TRUCK,GM,10272,12753,15509,17813,11671,13560,16535,18390,NO,GREEN,19638,33619,FL,10700,0,1272
36,28-12-2009,ADESA,2001,8,FORD,WINDSTAR FWD V6,LX,PASSENGER 3.8L LX,GOLD,Auto,1,Alloy,82944,AMERICAN,VAN,FORD,1805,2423,4318,5562,1840,2640,4407,5530,NO,GREEN,19638,33619,FL,3600,0,2322
37,28-12-2009,ADESA,2005,4,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L LX,GOLD,Auto,2,Covers,76304,AMERICAN,VAN,FORD,4649,5156,8487,8989,5099,6341,8086,9738,NO,GREEN,19638,33619,FL,6100,0,1506
38,28-12-2009,ADESA,2003,6,HYUNDAI,SONATA V6,GLS,4D SEDAN,GOLD,Auto,1,Alloy,55711,OTHER ASIAN,MEDIUM,OTHER,2742,3724,5794,6788,2719,3894,5549,6795,NO,GREEN,19638,33619,FL,5100,0,971
39,01-04-2010,ADESA,2005,5,CHRYSLER,300,BAS,4D SEDAN,SILVER,Auto,2,Covers,76586,AMERICAN,SPECIALTY,CHRYSLER,7482,8662,11915,13794,8528,9943,12386,14079,NO,GREEN,19638,33619,FL,8200,0,1389
40,01-04-2010,ADESA,2005,5,FORD,MUSTANG V6,BAS,2D COUPE,GOLD,Auto,1,Alloy,65078,AMERICAN,SPORTS,FORD,7669,8897,11047,13224,7669,8897,11047,13224,NO,GREEN,19638,33619,FL,8500,0,728
41,01-04-2010,ADESA,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,MAROON,Auto,2,Covers,65403,AMERICAN,MEDIUM,CHRYSLER,7149,8656,11086,12363,7937,9147,11415,12506,NO,GREEN,19638,33619,FL,6700,0,825
42,01-04-2010,ADESA,2005,5,NISSAN,SENTRA,BAS,4D SEDAN 1.8,SILVER,Auto,1,Alloy,86889,TOP LINE ASIAN,COMPACT,OTHER,4522,5544,8115,9156,4522,5544,8115,9156,NO,GREEN,19638,33619,FL,5200,0,594
43,01-11-2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,BAS,4D SPORT TOURER,SILVER,Auto,1,Alloy,68990,AMERICAN,CROSSOVER,CHRYSLER,6109,7449,9669,11713,6695,8221,9519,11325,NO,GREEN,19619,33619,FL,8500,0,1215
44,01-11-2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,GREY,Auto,2,Covers,80949,AMERICAN,LARGE,GM,7868,9037,11742,13276,9017,10256,12810,14181,NO,GREEN,19619,33619,FL,7900,0,2152
45,01-11-2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,BLUE,Auto,1,Alloy,52774,AMERICAN,LARGE TRUCK,CHRYSLER,6451,8015,10954,12342,7871,9234,11975,13004,NO,GREEN,19619,33619,FL,11335,0,754
46,01-11-2010,ADESA,2004,6,NISSAN,XTERRA 2WD V6,SE,4D SPORT UTILITY,BLUE,Auto,1,Alloy,72191,TOP LINE ASIAN,MEDIUM SUV,OTHER,7033,8356,10916,12432,7033,8356,10916,12432,NO,GREEN,19619,33619,FL,7100,0,569
47,01-11-2010,ADESA,2003,7,FORD,FOCUS,SE,4D SEDAN SE,SILVER,Auto,1,Alloy,59858,AMERICAN,COMPACT,FORD,2599,3444,5894,7811,2788,3573,5724,6740,NO,GREEN,5546,33619,FL,4600,0,1220
48,01-11-2010,ADESA,2002,8,TOYOTA,COROLLA,CE,4D SEDAN CE,SILVER,Auto,1,Alloy,79576,TOP LINE ASIAN,COMPACT,OTHER,2492,3290,5516,7088,2492,3290,5516,7088,NO,GREEN,19619,33619,FL,3900,0,869
49,01-11-2010,ADESA,2004,6,FORD,FOCUS,SE,4D SEDAN SE,WHITE,Auto,1,Alloy,73291,AMERICAN,COMPACT,FORD,3443,4322,7636,9586,2897,3802,6112,7097,NO,GREEN,19619,33619,FL,4100,0,1155
50,01-11-2010,ADESA,2006,4,PONTIAC,G6 V6,GT,4D SEDAN GT,RED,Auto,1,Alloy,50227,AMERICAN,MEDIUM,GM,6630,7933,10660,12253,6630,7933,10660,12253,NO,GREEN,19619,33619,FL,7500,0,1003
51,01-11-2010,ADESA,2003,7,DODGE,1500 RAM PICKUP 2WD,LAR,QUAD CAB 4.7L,BEIGE,Auto,1,Alloy,82146,AMERICAN,LARGE TRUCK,CHRYSLER,6529,8087,11855,15842,6283,7591,9811,11189,NO,GREEN,5546,33619,FL,9400,0,1283
52,18-01-2010,ADESA,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GREY,Manual,2,Covers,58024,AMERICAN,MEDIUM,GM,4918,6168,8421,9638,5112,6101,8097,9389,NO,GREEN,20928,33619,FL,5600,0,671
53,18-01-2010,ADESA,2006,4,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GOLD,Auto,2,Covers,40919,AMERICAN,MEDIUM,GM,5456,6832,9488,11466,6189,7436,9696,11087,NO,GREEN,20928,33619,FL,7700,0,623
54,18-01-2010,ADESA,2005,5,DODGE,NEON,SE,4D SEDAN,SILVER,Auto,2,Covers,87643,AMERICAN,COMPACT,CHRYSLER,2755,3566,6142,7154,3799,4833,6792,8018,NO,GREEN,19638,33619,FL,4600,0,723
55,18-01-2010,ADESA,2005,5,FORD,FOCUS,ZX3,2D COUPE ZX3,WHITE,Manual,2,Covers,80968,AMERICAN,COMPACT,FORD,3224,4345,6716,7871,3800,4823,6687,7947,NO,GREEN,19638,33619,FL,4600,0,1243
56,18-01-2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,SXT,4D SUV 4.7L,SILVER,Auto,1,Alloy,50308,AMERICAN,MEDIUM SUV,CHRYSLER,8219,9414,12742,14018,8881,10454,13601,15016,NO,GREEN,20928,33619,FL,9635,0,1086
57,18-01-2010,ADESA,2007,3,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLACK,Auto,1,Alloy,80795,AMERICAN,LARGE,FORD,8806,10982,12674,15188,9310,11131,12872,14881,NO,GREEN,19638,33619,FL,7700,0,1633
58,18-01-2010,ADESA,2006,4,DODGE,DURANGO 2WD V8,ADV,4D SUV 4.7L ADVENTURER,RED,Auto,1,Alloy,62239,AMERICAN,MEDIUM SUV,CHRYSLER,10883,12166,15586,16956,10883,12166,15340,16512,NO,GREEN,20928,33619,FL,9135,0,1215
59,18-01-2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,BAS,4D SPORT TOURER,GOLD,Auto,1,Alloy,87008,AMERICAN,CROSSOVER,CHRYSLER,5925,7204,9121,10766,6372,7756,9650,10993,NO,GREEN,19638,33619,FL,6900,0,1503
60,18-01-2010,ADESA,2006,4,HYUNDAI,SONATA V6,GLS,4D SEDAN GLS,GOLD,Auto,1,Alloy,64060,OTHER ASIAN,MEDIUM,OTHER,6299,7569,10379,11857,6745,8174,10313,11802,NO,GREEN,20928,33619,FL,7535,0,728
61,18-01-2010,ADESA,2002,8,HYUNDAI,SONATA V6,BAS,4D SEDAN,BLUE,Auto,2,Covers,77677,OTHER ASIAN,MEDIUM,OTHER,2136,3158,4773,6048,2895,4139,5498,6648,NO,GREEN,19638,33619,FL,4200,0,1103
62,18-01-2010,ADESA,2003,7,FORD,MUSTANG V6,BAS,2D COUPE,GREY,Auto,1,Alloy,58888,AMERICAN,SPORTS,FORD,4064,5082,7662,8873,4001,5106,7566,8676,NO,GREEN,20928,33619,FL,6300,0,971
63,18-01-2010,ADESA,2006,4,FORD,FUSION 4C,SE,4D SEDAN SE,BLUE,Auto,2,Covers,63557,AMERICAN,MEDIUM,FORD,6961,8524,10753,12665,8193,9725,11724,13068,NO,GREEN,19638,33619,FL,7100,0,728
64,18-01-2010,ADESA,2003,7,TOYOTA,4 RUNNER 2WD V8,SR5,4D SPORT UTILITY SPORT EDITION,BEIGE,Auto,1,Alloy,90026,TOP LINE ASIAN,MEDIUM SUV,OTHER,8811,10569,12602,15004,8234,9818,12146,13893,NO,GREEN,19638,33619,FL,7900,0,1209
65,18-01-2010,ADESA,2005,5,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,BLUE,Auto,1,Alloy,89705,AMERICAN,VAN,CHRYSLER,5094,6628,9006,10811,6175,7792,9768,11489,NO,GREEN,19638,33619,FL,6100,0,1763
66,18-01-2010,ADESA,2004,6,DODGE,NEON,SXT,4D SEDAN,BLUE,Auto,1,Alloy,64511,AMERICAN,COMPACT,CHRYSLER,2448,3259,5279,6228,2480,3280,5134,6144,NO,GREEN,19638,33619,FL,4100,0,630
67,18-01-2010,ADESA,2005,5,PONTIAC,GRAND PRIX,GXP,4D SEDAN GXP,PURPLE,Auto,1,Alloy,75513,AMERICAN,LARGE,GM,10122,11913,13679,15574,9316,10419,13219,14612,NO,GREEN,20928,33619,FL,9100,0,1974
68,18-01-2010,ADESA,2006,4,CHRYSLER,SEBRING V6,TOU,4D SEDAN,BLACK,Auto,1,Alloy,80608,AMERICAN,MEDIUM,CHRYSLER,4407,5646,8657,10097,4226,5421,8125,9403,NO,GREEN,19638,33619,FL,5800,0,1373
69,18-01-2010,ADESA,2001,9,FORD,FOCUS,ZX3,2D COUPE ZX3,BLACK,Auto,1,Alloy,95558,AMERICAN,COMPACT,FORD,2006,2669,4031,4871,2371,3122,4957,5927,NO,GREEN,19638,33619,FL,3700,0,1641
70,25-01-2010,ADESA,2007,3,SUZUKI,FORENZA,BAS,4D SEDAN,GOLD,Auto,2,Covers,35796,OTHER ASIAN,MEDIUM,OTHER,5019,5870,8484,9263,5451,6336,8617,9919,NO,GREEN,5546,33619,FL,5900,0,462
71,25-01-2010,ADESA,2006,4,MAZDA,MAZDA5,BAS,4D WAGON SPORT,WHITE,Auto,1,Alloy,83501,OTHER ASIAN,CROSSOVER,OTHER,7841,9211,11179,12142,7860,9170,11305,12281,NO,GREEN,19619,33619,FL,7300,0,1113
72,25-01-2010,ADESA,2007,3,JEEP,LIBERTY 2WD V6,SPO,4D SUV,BLACK,Auto,1,Alloy,70148,AMERICAN,SMALL SUV,CHRYSLER,9670,10949,14609,16541,10037,11627,14218,15701,NO,GREEN,19619,33619,FL,7300,0,686
73,25-01-2010,ADESA,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,GOLD,Auto,2,Covers,76052,AMERICAN,MEDIUM,GM,5034,6206,8358,9604,5265,6275,8540,10178,NO,GREEN,19619,33619,FL,4900,0,803
74,25-01-2010,ADESA,2006,4,SUZUKI,FORENZA,BAS,4D SEDAN,RED,Auto,1,Alloy,72479,OTHER ASIAN,MEDIUM,OTHER,3620,4720,6484,8037,4439,5373,7460,9030,NO,GREEN,5546,33619,FL,4600,0,569
75,25-01-2010,ADESA,2005,5,FORD,TAURUS,SE,4D SEDAN SE,WHITE,Auto,2,Covers,84542,AMERICAN,MEDIUM,FORD,3214,4157,6109,7379,3713,4578,6942,8242,NO,GREEN,5546,33619,FL,4500,0,983
76,25-01-2010,ADESA,2005,5,DODGE,DAKOTA PICKUP 2WD V6,ST,QUAD CAB 3.7L ST,SILVER,Auto,1,Alloy,61081,AMERICAN,SMALL TRUCK,CHRYSLER,6208,7176,10055,11247,7470,8553,11393,12672,NO,GREEN,19619,33619,FL,5900,0,1020
77,25-01-2010,ADESA,2001,9,CHEVROLET,TAHOE 2WD,BAS,4D SUV 5.3L,WHITE,Auto,1,Alloy,86483,AMERICAN,LARGE SUV,GM,5498,6393,8910,9822,6614,7649,9808,10913,NO,GREEN,19619,33619,FL,8300,0,2063
78,25-01-2010,ADESA,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,SILVER,Auto,2,Covers,43898,AMERICAN,COMPACT,GM,4465,5384,8391,9258,4836,5860,8549,9650,NO,GREEN,5546,33619,FL,5600,0,623
79,25-01-2010,ADESA,2006,4,JEEP,LIBERTY 2WD V6,SPO,4D SUV,RED,Auto,1,Alloy,57338,AMERICAN,SMALL SUV,CHRYSLER,8597,10149,12331,13928,8931,10567,12439,13962,NO,GREEN,19619,33619,FL,7500,0,588
80,25-01-2010,ADESA,2003,7,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,SILVER,Auto,1,Alloy,59425,AMERICAN,LARGE SUV,FORD,6216,7470,9763,11452,6468,7813,10017,11930,NO,GREEN,19619,33619,FL,8700,0,1137
81,25-01-2010,ADESA,2005,5,DODGE,DURANGO 2WD V8,ST,4D SUV 4.7L ST,RED,Auto,2,Covers,79957,AMERICAN,MEDIUM SUV,CHRYSLER,6242,8058,10261,12091,6698,7400,11325,11897,NO,GREEN,19619,33619,FL,7700,0,1389
82,25-01-2010,ADESA,2003,7,HONDA,ELEMENT 2WD,EXE,4D SPORT UTILITY EX,BLUE,Auto,1,Alloy,78559,TOP LINE ASIAN,SMALL SUV,OTHER,6412,7495,10072,11343,7166,8201,10148,11289,NO,GREEN,19619,33619,FL,8000,0,986
83,25-01-2010,ADESA,2007,3,CHEVROLET,HHR,LT,4D SUV 2.2L LT,ORANGE,Auto,1,Alloy,48386,AMERICAN,MEDIUM,GM,7470,9106,11322,13321,8333,9667,12066,12969,NO,GREEN,19619,33619,FL,7200,0,623
84,25-01-2010,ADESA,2003,7,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,GOLD,Auto,1,Alloy,80117,AMERICAN,LARGE SUV,FORD,6216,7470,9763,11452,7750,8899,11407,13098,NO,GREEN,5546,33619,FL,8100,0,1413
85,25-01-2010,ADESA,2004,6,PONTIAC,SUNFIRE,SE,2D COUPE,BLUE,Manual,1,Alloy,65795,AMERICAN,COMPACT,GM,2765,3641,5545,7302,3121,3910,6035,6548,NO,GREEN,5546,33619,FL,3100,0,1020
86,25-01-2010,ADESA,2005,5,SATURN,RELAY 2WD V6,BAS,4D SPORT UTILITY,RED,Auto,2,Covers,51145,AMERICAN,VAN,GM,5294,6470,9365,10934,5706,7303,9981,12208,NO,GREEN,19619,33619,FL,7500,0,1583
87,25-01-2010,ADESA,2004,6,FORD,TAURUS,SES,4D SEDAN SES,GREY,Auto,1,Alloy,88366,AMERICAN,MEDIUM,FORD,2575,3529,5601,7007,2513,3482,5266,6652,NO,GREEN,5546,33619,FL,4400,0,983
88,25-01-2010,ADESA,2005,5,FORD,FREESTYLE 2WD V6,SEL,4D CUV 3.0L SEL,GOLD,Auto,1,Alloy,55909,AMERICAN,CROSSOVER,FORD,7350,8513,12016,13918,8320,9344,12490,13398,NO,GREEN,5546,33619,FL,8500,0,1169
89,02-01-2010,ADESA,2005,5,FORD,F150 PICKUP 2WD V8,LAR,CREW CAB 5.4L KING RANCH,GREY,Auto,1,Alloy,86702,AMERICAN,LARGE TRUCK,FORD,12004,15664,17400,21702,11520,14974,16133,19975,NO,GREEN,19638,33619,FL,10100,0,853
90,02-01-2010,ADESA,2006,4,FORD,FUSION 4C,SE,4D SEDAN SE,RED,Auto,1,Alloy,81424,AMERICAN,MEDIUM,FORD,7387,9053,11237,13384,7599,9140,11076,12386,NO,GREEN,19638,33619,FL,6900,0,853
91,02-01-2010,ADESA,2004,6,NISSAN,ALTIMA,BAS,4D SEDAN,GREEN,Auto,2,Covers,65379,TOP LINE ASIAN,MEDIUM,OTHER,4704,5612,7671,8988,5747,6830,9091,10242,NO,GREEN,19638,33619,FL,7700,0,630
92,02-01-2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER EXT 2WD,LT,4D SUV 4.2L LS,RED,Auto,1,Alloy,74954,AMERICAN,MEDIUM SUV,GM,6115,7807,10007,11980,6860,8150,10219,11276,NO,GREEN,19638,33619,FL,8900,0,1155
93,02-01-2010,ADESA,2002,8,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,GOLD,Auto,1,Alloy,49328,AMERICAN,MEDIUM SUV,GM,4081,5039,7246,8315,5204,6130,8011,8587,NO,GREEN,19638,33619,FL,7400,0,1134
94,02-01-2010,ADESA,2003,7,CHEVROLET,CAVALIER 4C,BAS,4D SEDAN,SILVER,Manual,2,Covers,73810,AMERICAN,COMPACT,GM,2105,2967,4771,5707,2659,3600,5185,5987,NO,GREEN,5546,33619,FL,4100,0,1455
95,02-01-2010,ADESA,2007,3,CHRYSLER,PT CRUISER,BAS,4D SEDAN,BLUE,Auto,2,Covers,43412,AMERICAN,MEDIUM,CHRYSLER,5628,6695,9226,10349,6303,7254,9456,10497,NO,GREEN,19638,33619,FL,5800,0,975
96,02-01-2010,ADESA,2004,6,CHEVROLET,TRACKER 2WD V6,LT,4D SUV HARDTOP 2.5L LT,WHITE,Auto,1,Alloy,78412,AMERICAN,SMALL SUV,GM,4220,4497,7415,7637,4133,4626,7374,7790,NO,GREEN,19638,33619,FL,5100,0,1155
97,02-01-2010,ADESA,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,PURPLE,Auto,1,Alloy,74026,AMERICAN,LARGE TRUCK,CHRYSLER,6964,8498,10836,12389,8132,9370,11798,13307,NO,GREEN,19638,33619,FL,10200,0,920
98,02-08-2010,ADESA,2002,8,FORD,MUSTANG V6,BAS,2D COUPE,WHITE,Auto,1,Alloy,64822,AMERICAN,SPORTS,FORD,3442,4419,6382,7874,4347,5324,7185,8419,NO,GREEN,5546,33619,FL,6100,0,1028
